pdb	alpha_helical(%)	beta_strand(%)	coil(%)
3t9j	52.53	25.02	22.45
7e0e	52.59	25.0	22.41
7z5k	52.65	24.96	22.39
4h0m	54.13	24.11	21.76
2yv9	54.07	24.18	21.75
3w5k	54.34	24.01	21.66
5umz	54.47	23.92	21.61
2fgn	54.5	23.89	21.61
8pow	54.2	24.07	21.73
7nmh	54.28	24.02	21.7
3hst	53.98	24.17	21.85
8tta	53.85	24.24	21.92
2ntx	53.96	24.18	21.86
5f8u	54.18	24.07	21.74
6gvw	53.34	24.65	22.01
6ga9	53.42	24.6	21.98
4am2	53.51	24.56	21.93
2fjc	54.31	24.04	21.65
1iw9	54.4	23.99	21.61
4cyd	54.17	24.02	21.81
8a6h	54.24	23.98	21.78
2xqr	51.94	25.32	22.74
7lgs	51.58	25.53	22.89
8fbj	51.73	25.44	22.82
2y02	51.96	25.35	22.69
3vty	52.13	25.25	22.62
6pyy	52.35	25.2	22.44
6akg	52.23	25.3	22.47
3ghq	52.74	25.09	22.17
6zft	52.58	25.16	22.26
2gm8	52.88	25.01	22.11
2qko	53.01	24.94	22.05
3wgi	52.91	25.0	22.09
3bvo	52.95	24.96	22.08
3iqe	52.86	25.02	22.12
6qa5	52.82	25.02	22.16
7lv1	52.88	24.99	22.13
3nvi	52.92	24.99	22.09
6bwa	53.02	24.93	22.05
6lk9	53.06	24.91	22.04
1lwu	52.28	25.24	22.49
5z8u	52.35	25.19	22.46
7c61	52.2	25.27	22.53
8drl	52.23	25.25	22.52
4mu6	52.33	25.2	22.47
6zo5	52.17	25.11	22.71
6l5j	52.6	24.89	22.51
4j24	52.73	24.83	22.44
7b7z	52.64	24.85	22.51
2bap	52.78	24.79	22.44
4kvu	52.81	24.77	22.42
5b3d	52.95	24.7	22.35
2j9q	53.0	24.67	22.33
3m7l	53.08	24.63	22.29
5wuc	53.12	24.61	22.27
4dci	53.1	24.6	22.29
3tpm	53.19	24.56	22.25
6vxq	53.14	24.59	22.27
5azd	53.41	24.42	22.17
1nbm	52.9	24.69	22.41
4zlw	53.18	24.55	22.27
2cn7	53.21	24.53	22.26
7znh	53.37	24.44	22.19
8jgo	53.33	24.46	22.21
3f35	53.36	24.45	22.2
8ouu	53.25	24.52	22.23
5wev	53.2	24.55	22.25
3iwz	53.07	24.55	22.38
5zxd	52.91	24.63	22.46
5hkz	52.89	24.64	22.46
6hu8	52.93	24.62	22.45
1o9e	52.98	24.59	22.43
8tjl	52.91	24.65	22.44
6m7x	52.91	24.66	22.43
6jky	52.72	24.77	22.51
5xzx	52.79	24.73	22.48
6sxf	52.91	24.66	22.42
7o93	52.97	24.63	22.4
3npr	53.0	24.62	22.38
4lzd	52.97	24.62	22.41
3apz	53.07	24.57	22.37
5ydc	53.1	24.55	22.36
4j10	53.14	24.53	22.33
1qja	53.22	24.47	22.3
2ebo	53.27	24.46	22.28
4tf4	53.05	24.58	22.37
4x3j	53.01	24.59	22.4
1fbw	52.93	24.62	22.46
7b80	52.86	24.63	22.52
1rop	52.87	24.62	22.51
2qlu	52.81	24.66	22.53
5tuu	52.8	24.66	22.54
3i63	52.83	24.63	22.54
6nlg	52.93	24.57	22.5
5yu9	52.72	24.71	22.57
4c5s	52.9	24.64	22.46
3zhe	53.03	24.59	22.38
5vpd	53.11	24.54	22.35
3ejr	52.85	24.69	22.46
5ayw	52.42	24.94	22.64
5mhc	52.46	24.92	22.63
4wwf	52.5	24.89	22.61
2o8d	52.33	25.0	22.66
4dkd	52.25	25.06	22.69
4xzr	52.31	25.02	22.67
1u6j	52.21	25.15	22.64
6z02	52.17	25.16	22.68
4mjy	52.19	25.14	22.67
7du9	52.11	25.19	22.7
2htm	51.92	25.28	22.8
6ctk	51.9	25.28	22.82
6g6j	51.96	25.25	22.79
3s17	51.35	25.6	23.06
7kee	50.75	25.9	23.35
5d8c	50.76	25.89	23.35
4ufb	50.84	25.87	23.29
6iuh	50.89	25.85	23.26
5u93	50.82	25.89	23.29
6g94	50.5	26.11	23.4
3fxe	50.52	26.1	23.39
8alw	50.55	26.08	23.38
3d87	50.37	26.18	23.45
4am5	50.41	26.17	23.42
5hud	50.37	26.21	23.42
3c3t	50.37	26.21	23.43
5dxh	50.28	26.25	23.47
7w5k	50.1	26.32	23.59
5m72	50.11	26.31	23.58
3dyh	50.2	26.28	23.52
2npm	50.28	26.24	23.48
3as5	50.32	26.21	23.47
1emr	50.33	26.21	23.46
5i9u	50.3	26.24	23.46
4hwf	50.32	26.23	23.45
7lu4	50.27	26.22	23.51
6b85	50.41	26.14	23.45
4kdp	50.5	26.09	23.41
1pix	50.41	26.15	23.44
5k7b	50.51	26.1	23.39
5m5e	50.39	26.17	23.44
2qmr	50.83	25.99	23.18
4gjw	50.98	25.91	23.12
4ayt	51.02	25.88	23.1
4uva	50.99	25.91	23.11
1key	51.1	25.84	23.05
6hjy	50.74	26.08	23.18
3fo3	50.66	26.17	23.18
3m7d	50.67	26.16	23.17
6vf8	50.65	26.16	23.19
7yfv	50.68	26.15	23.17
4kcf	50.68	26.14	23.17
1a38	50.74	26.11	23.16
5ual	50.16	26.38	23.46
3kx9	50.66	26.14	23.2
4lnz	50.67	26.13	23.2
2i21	50.7	26.11	23.19
1a92	50.74	26.1	23.17
1eum	50.85	26.03	23.11
1gu5	50.88	26.02	23.1
5a60	50.87	26.03	23.1
2d4c	51.04	25.94	23.02
4n5z	50.0	26.37	23.63
3zed	49.87	26.48	23.65
4c8k	49.86	26.47	23.66
2z5u	49.83	26.49	23.67
5hvk	49.75	26.54	23.72
7kt0	49.74	26.53	23.73
5dhg	49.82	26.49	23.69
3t1q	49.8	26.49	23.71
7o91	49.85	26.46	23.69
2wrc	49.65	26.54	23.8
4ais	49.58	26.56	23.86
3euv	49.59	26.55	23.86
3pvy	49.66	26.51	23.83
2a33	49.64	26.51	23.85
3qvd	49.72	26.45	23.82
7zrb	49.83	26.4	23.77
7aax	49.81	26.41	23.78
6lvl	49.76	26.45	23.79
1ci6	49.79	26.43	23.78
6zlh	49.94	26.36	23.7
1i49	50.01	26.32	23.67
8t5p	49.88	26.44	23.68
6zpq	49.94	26.42	23.64
2q9z	50.01	26.39	23.6
4tyj	49.99	26.41	23.6
4w7z	50.03	26.39	23.58
7p47	50.0	26.4	23.6
2b0t	49.97	26.43	23.6
2pvy	49.88	26.48	23.64
1v2z	49.89	26.48	23.64
8aqe	49.91	26.46	23.63
7z36	49.93	26.44	23.62
5tjf	49.96	26.42	23.61
4a0m	49.83	26.48	23.68
3srv	49.79	26.5	23.71
3zn1	49.77	26.52	23.71
4pi0	49.72	26.56	23.72
6son	49.73	26.55	23.72
2r9e	49.76	26.54	23.7
6n3i	49.81	26.52	23.67
5gy2	49.71	26.61	23.68
4k1o	49.73	26.6	23.67
8am0	49.69	26.62	23.69
4p9t	49.82	26.54	23.64
6ipq	49.83	26.54	23.63
6z7b	49.81	26.54	23.65
3dby	50.24	26.26	23.5
4di5	50.27	26.24	23.49
7xae	50.21	26.28	23.51
1hgi	50.03	26.34	23.63
5go4	50.04	26.34	23.62
4asd	50.01	26.35	23.63
1xwo	50.11	26.29	23.59
3ci4	50.12	26.29	23.59
3vvk	50.25	26.22	23.53
6hi0	50.23	26.24	23.53
4mh6	50.25	26.22	23.52
8w95	50.27	26.22	23.52
2fk8	50.26	26.21	23.53
5egv	50.28	26.2	23.51
4dmd	50.29	26.2	23.51
7duj	50.12	26.28	23.6
3b60	50.23	26.23	23.54
6xvf	50.21	26.25	23.54
2iu3	50.16	26.26	23.58
6pps	50.08	26.31	23.61
5c8l	50.03	26.33	23.63
7wz6	50.04	26.33	23.63
6s3c	50.06	26.31	23.63
1pl0	49.96	26.34	23.71
7c6d	49.96	26.34	23.7
8tnn	49.66	26.55	23.8
8spe	49.89	26.42	23.68
2fyf	49.86	26.44	23.7
8hdv	49.88	26.42	23.69
2taa	49.78	26.5	23.72
4i2s	49.74	26.52	23.75
8gjg	49.76	26.5	23.74
3p8m	49.75	26.5	23.75
1qpj	49.74	26.51	23.76
3ejp	49.63	26.57	23.8
7jxk	49.51	26.65	23.84
6g3d	49.54	26.64	23.83
8z5j	49.58	26.61	23.8
4dqq	49.57	26.61	23.82
8eqq	49.57	26.61	23.82
8wew	49.61	26.58	23.81
6zsi	49.63	26.57	23.8
2yjd	49.65	26.56	23.78
8qqo	49.68	26.55	23.77
2wl8	49.71	26.54	23.75
1zqq	49.7	26.55	23.75
3v3y	49.69	26.55	23.76
4g2f	49.67	26.56	23.77
1b6c	49.53	26.66	23.81
5jrf	49.55	26.65	23.8
5tlo	49.58	26.63	23.79
6yxh	49.61	26.62	23.77
6rki	49.62	26.61	23.77
3pvt	49.67	26.58	23.75
6uq0	49.39	26.73	23.88
1iw1	49.45	26.7	23.85
5xfl	49.59	26.62	23.78
6rkm	49.61	26.61	23.78
5l1x	49.51	26.67	23.82
6hyx	49.42	26.74	23.84
2vn4	49.4	26.76	23.85
8a7k	49.44	26.74	23.82
1yuz	49.45	26.73	23.82
8ceg	49.51	26.7	23.79
3oxg	49.5	26.7	23.8
3bv0	49.47	26.7	23.83
7v4v	49.53	26.68	23.8
1hgd	49.38	26.71	23.9
4cgu	49.37	26.72	23.9
4hjo	49.36	26.73	23.91
8qtg	49.36	26.73	23.92
4gfa	49.3	26.76	23.94
6tms	49.39	26.71	23.9
6ygj	49.44	26.68	23.88
5v3o	49.25	26.75	24.0
5yr0	49.26	26.74	24.0
6sfr	49.29	26.73	23.99
6jlo	49.27	26.75	23.98
7vis	49.29	26.74	23.97
6gah	49.3	26.73	23.97
4hny	49.37	26.7	23.93
6k6i	49.39	26.69	23.92
5krl	49.42	26.67	23.91
6pu7	49.43	26.67	23.9
4zmu	49.38	26.69	23.93
5fz6	49.35	26.71	23.94
5aym	49.39	26.69	23.93
3f3f	49.23	26.77	24.0
1mow	49.22	26.78	24.0
4bul	49.18	26.8	24.02
6rf0	49.28	26.75	23.97
4dhn	49.3	26.74	23.96
5e30	49.18	26.79	24.03
6w2w	49.2	26.78	24.02
4pgq	49.19	26.78	24.03
1xsn	49.18	26.78	24.03
4m9h	49.18	26.78	24.04
5v03	49.19	26.78	24.04
4ohf	49.13	26.8	24.07
7nl5	49.14	26.79	24.07
6ixr	49.16	26.78	24.06
7p0n	49.18	26.76	24.06
2f2g	49.22	26.74	24.04
8y14	49.26	26.72	24.02
3ug2	49.24	26.73	24.02
8e2c	49.25	26.73	24.02
3dtu	49.27	26.72	24.01
5xy9	49.31	26.7	23.99
4ymo	49.3	26.7	24.0
7xz0	49.27	26.71	24.01
6rqz	49.19	26.76	24.06
8iqy	49.22	26.73	24.04
3eql	48.9	26.9	24.19
6c6k	48.96	26.87	24.17
4m2s	49.03	26.83	24.13
5vit	48.83	26.92	24.25
6fcp	48.84	26.91	24.25
3qqm	48.72	26.97	24.31
5hfl	48.76	26.94	24.29
4a36	48.76	26.96	24.28
3zgx	48.76	26.95	24.29
8gc8	48.75	26.96	24.29
5e79	48.74	26.98	24.28
5gmu	48.76	26.97	24.28
4mku	48.77	26.96	24.27
8eia	48.8	26.95	24.26
1hl2	48.78	26.96	24.26
6mxt	48.79	26.96	24.25
3grl	48.82	26.94	24.24
7bcm	48.8	26.96	24.25
5em7	48.78	26.97	24.25
7ksw	48.77	26.97	24.26
4bsm	48.83	26.94	24.23
4frz	48.79	26.97	24.24
9jbq	48.74	27.0	24.26
6g6k	48.77	26.98	24.25
5klv	48.76	26.99	24.25
6lvn	48.78	26.99	24.24
6f6k	48.82	26.97	24.22
7pc9	48.82	26.96	24.22
6m60	48.86	26.94	24.2
5kdm	48.86	26.94	24.2
2cly	48.9	26.92	24.18
8jh0	48.94	26.9	24.16
8ai0	48.95	26.89	24.16
3fki	48.73	27.02	24.25
3ro3	48.74	27.01	24.25
4elv	48.74	27.01	24.25
2itt	48.72	27.02	24.26
4gto	48.73	27.01	24.26
1qkm	48.74	27.01	24.25
5swp	48.72	27.03	24.25
4o9t	48.82	26.98	24.2
4r6x	48.81	26.99	24.2
1uo5	48.81	26.99	24.2
4mb0	48.81	26.99	24.2
6djl	48.89	26.95	24.16
4aag	48.89	26.96	24.16
9bjl	48.86	26.97	24.18
4wxg	48.84	26.97	24.19
6cbt	48.85	26.96	24.19
5cmy	48.86	26.96	24.18
3mba	48.87	26.95	24.18
8jwo	48.75	26.94	24.31
5xki	48.77	26.93	24.3
8dgm	48.78	26.92	24.3
3ge8	48.82	26.9	24.28
3px0	48.81	26.89	24.29
3wkw	48.79	26.91	24.3
8had	48.79	26.9	24.3
7o39	48.8	26.9	24.3
5em6	48.78	26.92	24.3
2b1g	48.73	26.92	24.35
9bw0	48.54	27.03	24.44
8g52	48.56	27.02	24.42
7nzk	48.58	27.01	24.42
5tgo	48.48	27.05	24.47
6v6q	48.43	27.08	24.49
5m7y	48.43	27.07	24.5
4dv3	48.34	27.12	24.54
6fk3	48.3	27.13	24.57
6di9	48.29	27.14	24.57
6fpw	48.23	27.17	24.6
6cd1	48.18	27.15	24.67
1cii	48.21	27.13	24.65
7bg3	48.23	27.12	24.65
3pnc	48.22	27.12	24.65
3cce	48.02	27.24	24.74
1s2z	48.02	27.24	24.74
6p86	47.94	27.28	24.78
6dvc	47.82	27.33	24.84
3fvy	47.82	27.33	24.85
7aal	47.87	27.31	24.82
6pt3	47.92	27.28	24.8
3k7z	47.93	27.28	24.79
4ydy	47.93	27.28	24.79
3t6e	47.91	27.28	24.8
8afj	47.93	27.27	24.79
2uxk	47.93	27.27	24.8
5zax	47.93	27.27	24.8
4nr2	47.96	27.26	24.78
6vw7	47.93	27.27	24.8
2yjj	48.04	27.21	24.75
1sl0	48.01	27.23	24.76
7o6i	48.02	27.22	24.76
5wbx	48.03	27.21	24.76
6ql4	48.06	27.21	24.73
4yjo	48.05	27.21	24.73
2qzo	48.07	27.2	24.73
1h2s	48.09	27.19	24.72
3uca	48.12	27.18	24.7
3pyy	48.1	27.19	24.71
6v5n	48.06	27.22	24.72
3m63	48.09	27.21	24.71
4hse	48.1	27.2	24.7
5b0o	48.07	27.23	24.7
4ji4	47.99	27.28	24.74
5iil	47.98	27.28	24.74
5j2e	47.98	27.28	24.75
8tgt	47.99	27.27	24.74
3f36	48.0	27.26	24.74
1yj4	48.03	27.25	24.72
4rq0	48.03	27.25	24.73
3i9y	48.05	27.24	24.72
8c42	48.06	27.23	24.71
6h4z	48.04	27.24	24.72
7o5c	48.05	27.24	24.71
3kp9	48.06	27.23	24.71
4m13	48.05	27.24	24.71
1kwz	48.03	27.24	24.73
7mgx	48.01	27.25	24.74
3f3d	48.04	27.23	24.72
3hoy	47.88	27.32	24.8
1k7w	47.95	27.29	24.77
8d08	47.97	27.27	24.76
7w7a	47.92	27.26	24.81
3t33	47.93	27.26	24.81
5fjy	47.96	27.24	24.8
8dio	47.97	27.24	24.79
8s9f	47.96	27.25	24.8
5ee7	47.98	27.24	24.79
8rca	47.92	27.26	24.82
6aqe	47.92	27.27	24.82
7z8n	47.95	27.25	24.8
2e91	47.98	27.24	24.79
2ho1	48.0	27.23	24.78
3v1d	48.02	27.22	24.77
2xjo	48.1	27.17	24.73
5jkg	48.09	27.18	24.74
4a2p	48.09	27.18	24.73
5a7d	48.36	27.03	24.62
6jps	48.53	26.93	24.54
5jrc	48.57	26.9	24.52
5tt7	48.57	26.9	24.53
4ovu	48.55	26.92	24.53
6qdl	48.59	26.9	24.51
3dko	48.58	26.9	24.52
8ire	48.57	26.91	24.52
8ec3	48.58	26.91	24.51
1slq	48.46	26.99	24.55
4ua2	48.49	26.98	24.53
1zqi	48.49	26.98	24.53
1qgk	48.53	26.96	24.51
4w6v	48.56	26.94	24.5
2bhx	48.54	26.96	24.5
4ziw	48.55	26.97	24.49
6iwa	48.56	26.95	24.48
4dfl	48.56	26.96	24.49
3coc	48.58	26.94	24.48
1dia	48.57	26.95	24.48
3ay5	48.59	26.94	24.47
5tj2	48.58	26.95	24.47
1xmo	48.5	27.0	24.5
4i29	48.49	27.0	24.5
5vji	48.51	26.99	24.49
2vf8	48.46	27.02	24.52
5n0f	48.47	27.01	24.52
6yu8	48.45	27.03	24.52
3bkn	48.53	26.99	24.48
7f09	48.54	26.98	24.47
3abm	48.59	26.97	24.44
1sqx	48.59	26.97	24.44
1k0z	48.58	26.98	24.44
5zi1	48.54	26.99	24.47
4j5l	48.56	26.99	24.46
2osz	48.58	26.98	24.44
2e95	48.61	26.96	24.43
5gxx	48.58	26.97	24.45
4x31	48.59	26.97	24.45
4m57	48.6	26.96	24.43
3v1f	48.61	26.96	24.43
6g3g	48.62	26.95	24.43
3prf	48.61	26.96	24.43
6fgx	48.61	26.96	24.43
1bq7	48.61	26.96	24.43
7cod	48.6	26.96	24.44
3glh	48.61	26.98	24.41
7b9a	48.59	26.98	24.43
2fzf	48.6	26.98	24.42
7pow	48.61	26.97	24.42
6h1v	48.59	26.99	24.43
4ct7	48.61	26.98	24.41
7pnc	48.62	26.97	24.41
1gkz	48.62	26.97	24.4
4lrm	48.57	27.01	24.42
5bq0	48.57	27.01	24.42
2z6e	48.62	26.99	24.39
6m31	48.65	26.98	24.38
8whm	48.65	26.97	24.38
4dyp	48.64	26.98	24.37
6hft	48.64	26.98	24.37
5dh1	48.63	26.99	24.38
3ash	48.65	26.98	24.37
3piv	48.66	26.97	24.37
3sok	48.65	26.98	24.37
9icm	48.65	26.98	24.37
5lvz	48.66	26.97	24.36
6ona	48.59	27.0	24.41
1wwm	48.61	26.99	24.4
8arg	48.62	26.99	24.4
1ntm	48.61	26.99	24.4
7s07	48.52	27.06	24.42
1avm	48.52	27.06	24.42
7tce	48.5	27.07	24.44
6txl	48.56	27.03	24.41
7t2y	48.57	27.02	24.41
4zva	48.58	27.02	24.4
1bk5	48.62	26.99	24.38
6yox	48.63	26.99	24.38
6gam	48.6	27.01	24.39
2v7i	48.61	27.0	24.39
6tqy	48.64	26.99	24.37
1fou	48.59	27.01	24.4
7buw	48.62	27.0	24.38
5lx2	48.63	26.99	24.38
2ymq	48.63	26.99	24.38
2bnp	48.62	26.99	24.39
6g6x	48.63	26.99	24.38
6f6p	48.66	26.97	24.37
6rnq	48.67	26.96	24.36
6e4d	48.66	26.97	24.37
4l7s	48.64	26.98	24.38
5n65	48.63	26.99	24.38
5x86	48.63	26.99	24.38
8aze	48.64	26.98	24.38
6xi6	48.66	26.97	24.37
3omi	48.68	26.96	24.36
8h6r	48.68	26.96	24.36
6en4	48.62	26.98	24.4
7f7p	48.62	26.98	24.4
6yq1	48.6	26.99	24.41
7l7w	48.6	26.99	24.41
4z9j	48.62	26.98	24.4
8e7z	48.64	26.97	24.39
8i5v	48.63	26.98	24.39
8bcb	48.59	27.01	24.41
8rr6	48.58	27.01	24.41
1n4p	48.61	26.99	24.39
2dgj	48.64	26.98	24.38
7y4t	48.63	26.99	24.39
5toa	48.64	26.98	24.38
1ntz	48.64	26.98	24.38
2gw1	48.67	26.96	24.37
2b63	48.53	27.04	24.43
1w5j	48.54	27.03	24.43
7ewf	48.55	27.03	24.42
6gkc	48.56	27.03	24.42
7m1u	48.57	27.02	24.41
6thm	48.58	27.01	24.4
1m4c	48.59	27.01	24.4
1k6l	48.59	27.01	24.41
3s3c	48.6	27.0	24.4
6ruu	48.59	27.01	24.41
4kkm	48.61	27.0	24.4
5cnn	48.59	27.01	24.4
5z7q	48.59	27.01	24.4
3fqe	48.58	27.01	24.41
1xqr	48.61	27.0	24.39
3p0k	48.61	27.0	24.39
3zms	48.61	27.0	24.39
6p69	48.59	27.01	24.4
5lnc	48.6	27.01	24.39
4nrh	48.63	26.99	24.38
4la5	48.63	26.99	24.38
8ibh	48.64	26.99	24.37
3oji	48.62	27.0	24.38
8qni	48.62	26.99	24.38
4n3a	48.62	27.0	24.39
4wyv	48.7	26.95	24.35
5hkv	48.56	27.01	24.43
2r93	48.43	27.09	24.49
1ukl	48.5	27.05	24.45
1s54	48.52	27.04	24.44
4mhi	48.34	27.12	24.54
8sco	48.34	27.12	24.54
5vre	48.37	27.1	24.52
6m20	48.45	27.07	24.48
5z6w	48.45	27.07	24.48
3g81	48.43	27.07	24.5
6sin	48.44	27.06	24.49
5kaf	48.43	27.08	24.49
4m3q	48.42	27.09	24.5
2otj	48.28	27.16	24.55
1zij	48.29	27.16	24.55
6rf1	48.33	27.14	24.53
3atp	48.35	27.13	24.52
4cpc	48.44	27.09	24.48
2d48	48.44	27.08	24.48
1q06	48.44	27.08	24.48
7e9x	48.43	27.08	24.49
6nfh	48.42	27.08	24.49
6wxn	48.39	27.1	24.5
5kjn	48.39	27.1	24.51
6oba	48.4	27.09	24.5
2bk6	48.43	27.07	24.49
8q5d	48.4	27.11	24.5
1cow	48.35	27.14	24.51
7m0a	48.34	27.14	24.52
1pgr	48.3	27.17	24.52
8fj4	48.3	27.18	24.53
6ecp	48.29	27.18	24.53
1snu	48.28	27.19	24.54
8d0e	48.27	27.19	24.54
4elz	48.27	27.2	24.53
1p84	48.25	27.22	24.53
8u93	48.25	27.22	24.53
5vo8	48.16	27.26	24.58
6tch	48.17	27.25	24.58
6ffh	48.18	27.25	24.57
4uvj	48.2	27.24	24.56
4fxx	48.2	27.24	24.56
6wgu	48.2	27.23	24.56
7tem	48.2	27.23	24.57
1yd6	48.2	27.23	24.57
5gty	48.14	27.27	24.59
4j8e	48.15	27.27	24.58
4whl	48.14	27.27	24.59
7jxs	48.15	27.26	24.59
6zfu	48.15	27.27	24.59
4xi0	48.18	27.25	24.57
7dr4	48.08	27.31	24.61
7o3f	48.08	27.31	24.61
7oah	48.09	27.3	24.6
5f97	48.05	27.32	24.63
5b3i	48.07	27.31	24.62
7ba3	48.08	27.31	24.61
7wxp	48.08	27.31	24.61
5lcd	48.09	27.32	24.6
8a5v	48.03	27.36	24.62
5bk7	48.0	27.37	24.63
6v62	47.99	27.38	24.63
1qpe	47.99	27.38	24.63
5jae	48.03	27.36	24.62
4v25	48.03	27.36	24.61
8ats	48.04	27.35	24.61
3zlj	48.03	27.36	24.61
5vj1	47.98	27.38	24.64
5j10	47.99	27.37	24.64
2y0q	47.99	27.37	24.64
2xz0	48.02	27.37	24.62
1bcf	48.08	27.34	24.58
6u2u	48.08	27.34	24.58
3hgk	48.06	27.36	24.58
5p9g	48.06	27.36	24.58
3pla	48.05	27.36	24.59
7o5f	48.06	27.35	24.59
6nz3	48.07	27.35	24.58
6hpg	48.09	27.33	24.58
6qh5	48.1	27.33	24.57
8jgt	48.1	27.33	24.58
2j5c	48.12	27.31	24.56
7oy3	48.12	27.32	24.56
6c28	48.13	27.31	24.56
6blj	48.11	27.32	24.56
2ed6	48.01	27.42	24.57
8sxq	48.03	27.41	24.57
8tgy	48.02	27.41	24.57
5sxk	48.01	27.41	24.58
2xs1	48.03	27.41	24.56
4glx	48.02	27.41	24.57
3rkg	48.02	27.41	24.57
4n7l	48.02	27.41	24.58
6g0y	48.03	27.4	24.57
5uwi	48.05	27.39	24.56
2d8d	48.06	27.39	24.55
2qa8	48.07	27.38	24.55
6fwr	48.07	27.39	24.55
1fce	48.06	27.39	24.55
7wek	48.06	27.39	24.55
5agd	48.07	27.38	24.55
8h8s	48.11	27.36	24.53
3uf1	48.14	27.34	24.51
4cf4	48.14	27.34	24.52
3hq2	48.16	27.33	24.51
4oj6	48.03	27.39	24.58
2a26	48.04	27.38	24.58
4fpd	48.05	27.38	24.57
1hge	47.99	27.39	24.61
3tul	48.02	27.38	24.6
3hh0	48.03	27.37	24.6
6f3f	48.02	27.38	24.61
2w66	48.0	27.38	24.62
6yc4	48.04	27.36	24.6
3czn	48.0	27.39	24.61
3egw	47.97	27.41	24.62
7udj	47.97	27.41	24.62
3whl	47.98	27.41	24.61
5ygh	47.98	27.41	24.61
5w3x	47.96	27.42	24.62
5qsv	48.0	27.4	24.6
2uub	47.95	27.43	24.62
5xdg	47.96	27.43	24.61
4wa9	47.95	27.44	24.61
5x13	47.96	27.43	24.61
5qtz	47.95	27.44	24.61
3thw	47.94	27.44	24.62
3af7	47.95	27.44	24.61
7ba8	47.95	27.44	24.61
6e3v	47.95	27.43	24.61
3foe	47.94	27.44	24.62
5j0k	47.95	27.44	24.61
4aqu	47.95	27.44	24.61
5we2	47.96	27.44	24.61
8scg	47.96	27.43	24.61
4d0p	47.97	27.43	24.61
7m46	47.96	27.43	24.61
8gk5	47.94	27.44	24.62
5lyn	47.94	27.44	24.62
2ux1	47.99	27.41	24.59
6yaz	48.02	27.4	24.58
8po4	48.01	27.41	24.58
5vtz	47.96	27.43	24.62
3nmd	47.97	27.42	24.61
6ox2	47.96	27.43	24.61
3ejq	47.93	27.45	24.63
7xds	47.94	27.44	24.62
6o5i	47.94	27.44	24.62
6n85	47.95	27.44	24.61
3mtt	47.96	27.43	24.61
3e1p	48.02	27.41	24.58
4mhl	48.02	27.4	24.58
8y0g	48.04	27.4	24.57
8bi6	48.04	27.39	24.57
2x17	48.16	27.32	24.51
7b3q	48.16	27.33	24.52
7lnj	48.13	27.35	24.52
4hb3	48.15	27.35	24.5
2h6g	48.15	27.34	24.5
4tnw	47.84	27.58	24.58
1fuq	47.85	27.57	24.58
1gjo	47.84	27.58	24.58
4cga	47.84	27.57	24.58
2enx	47.83	27.57	24.59
4qza	47.83	27.58	24.59
4amj	47.85	27.57	24.58
6yu3	47.87	27.56	24.57
1l3u	47.87	27.56	24.57
7p57	47.87	27.56	24.58
6zi4	47.85	27.56	24.59
6gbq	47.89	27.54	24.57
4l1b	47.88	27.55	24.57
8k8d	47.88	27.55	24.57
3agu	47.89	27.54	24.56
3zmm	47.89	27.55	24.57
